"Part";"Value";"Device";"Package";"Description";"";
"C28";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D1";"SOD123_ZENER_5.1V";"SOD123_ZENER_5.1V";"SOD123_ZENER";"";"";
"D2";"SOD123_ZENER_5.1V";"SOD123_ZENER_5.1V";"SOD123_ZENER";"";"";
"DRV8835";"DRV8835DSSRDSS12_P9X2_THERMAL";"DRV8835DSSRDSS12_P9X2_THERMAL";"DSS12_P9X2_THERMAL";"";"";
"DRV8838";"DRV8838DSGTDSG8_P9X1P6_THERMAL";"DRV8838DSGTDSG8_P9X1P6_THERMAL";"DSG8_P9X1P6_THERMAL";"";"";
"HALL";"3POS_TERMINAL";"3POS_TERMINAL";"3POS_TERMINAL";"";"";
"IMU_1";"BOARDMOUNT_HEADER_6POS";"BOARDMOUNT_HEADER_6POS";"BOARDMOUNT_HEADER";"";"";
"LM1";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"LMZ1";"LMZ23605TZE/NOPBTZA07A_THERMAL_TABBED";"LMZ23605TZE/NOPBTZA07A_THERMAL_TABBED";"TZA07A_THERMAL_TABBED";"";"";
"LMZ2";"LMZ23605TZE/NOPBTZA07A_THERMAL_TABBED";"LMZ23605TZE/NOPBTZA07A_THERMAL_TABBED";"TZA07A_THERMAL_TABBED";"";"";
"MAX14870";"MAX14870ETC+T";"MAX14870ETC+T";"21-0664B";"";"";
"MAX16052";"MAX16052AUT+T";"MAX16052AUT+T";"21-0058I";"";"";
"MBED";"MBED_MICROCONTROLLER";"MBED_MICROCONTROLLER";"DIL40_0.9";"mbed Microcontroller, DIP40, 0.9"";"";
"NFAULT";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"PUMP";"2POS_BLOCK";"2POS_BLOCK";"2POS_BLOCK";"";"";
"R1";"5.62K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R2";"1.07K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R3";"42.2K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R4";"12.7K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R5";"15.4K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R6";"2.37K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R7";"42.2K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R8";"12.7K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R9";"3.82MEG";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R10";"132K";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R11";"56K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R12";"10R";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R13";"10R";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R14";"2K2";"RESISTOR0603";"0603";"Generic Resistor Package";"";
